DATE,ability,absacc,acc,accq,adm,ami,assgrw,ba,backlog,bcir,bet,betasq,bliq,bm,capexgrw,cashdebt,cdi,cep,cfmkt,chcurrat,chg_debt,chg_fin,chgat,chgcoa,chgcol,chgnoa,chgnwc,chgoa,chgol,chgpm,chgppe,chinv,chmom,chtx,ci,coskew,cp,crev,csaleinv,cto,currat,dctaq,ddemp,depr,dfina,dimson,dior,disacc,divy,dlno,dnco,dnwc,down,dp,droa,droe,dsti,earet,earnsm,ebg,ebm,em,ep,eqd,etax,fhigh,firmage,frm,fscore,gad,gltdebt,gmsale,gprof,gscore,hire,idio,ind,indcapex,indcf,indebit,indsale,intanret,invgrw,ior,kzindex,laboreff,lev,levbm,lmom,ltbeta,ltrev,max,mliq,mom,mv,nef,noa,npyield,nxf,ocp,operprof,orgcap,oscore,pchdepr,pchquick,pctacc,peroa,pin,price,prof,profm,pyield,quick,rdmkt,rdmve,rds,rdsale,real,roa,roavol,roe,roic,rom,rsup,salecash,saleinv,saleinvt,salerec,salerect,salexsga,sdebt,sgr,shriss1,shriss5,size,sp,spitem,sprdvol,stbeta,stdacc,stdcf,stdroa,strev,sue,susg,ta,tang,tbi,td,turn,varcf,vdvol,voltrend,vturn,wwindex,xfin,zero,zscore
20060213,-0.1%,-0.1%,0.0%,0.1%,0.5%,0.3%,-0.2%,-0.2%,,1.0%,-1.0%,-0.4%,-0.6%,-0.1%,0.0%,-0.3%,-0.1%,0.1%,-0.0%,-0.3%,-0.0%,-0.3%,0.3%,-0.2%,0.2%,-0.2%,-0.5%,-0.0%,0.4%,-0.0%,0.0%,-0.1%,0.1%,-0.3%,-0.1%,-0.6%,-0.1%,-0.0%,0.2%,-0.1%,-0.1%,0.4%,0.1%,0.0%,0.5%,-0.2%,,-0.2%,0.0%,-0.0%,0.1%,-0.1%,-0.9%,0.5%,0.0%,0.1%,0.2%,-0.6%,-0.1%,-0.2%,0.0%,-0.2%,-0.0%,-0.6%,-0.4%,0.0%,0.1%,0.7%,-0.4%,0.6%,-0.3%,-0.1%,0.3%,,-0.2%,-0.2%,-0.9%,-0.0%,-0.3%,-0.2%,-0.0%,-0.1%,-0.1%,,-0.5%,0.5%,0.5%,-0.1%,-0.5%,,0.0%,-0.4%,-0.3%,-0.2%,-0.8%,-0.2%,-0.5%,0.2%,-0.4%,-0.3%,0.1%,0.3%,-0.2%,-0.2%,-0.4%,0.0%,0.0%,,-0.4%,0.1%,-0.1%,0.3%,-0.2%,0.7%,0.1%,0.7%,0.8%,0.2%,-0.3%,-0.7%,-0.2%,-0.2%,-0.1%,-0.3%,-0.1%,0.3%,0.1%,0.0%,0.4%,-0.2%,,0.1%,0.3%,-0.1%,-0.1%,0.4%,0.0%,0.2%,-0.4%,-0.2%,-0.5%,,-0.0%,-0.2%,-0.0%,-0.2%,-0.2%,0.2%,0.2%,-0.8%,-0.1%,-0.5%,-0.6%,-0.6%,-0.3%,-0.4%,0.8%,-0.7%
20060214,-0.2%,-0.7%,-0.0%,0.4%,-0.1%,-0.8%,0.2%,0.1%,,0.2%,1.1%,0.5%,-0.1%,-0.4%,-0.2%,0.3%,-0.2%,0.3%,-0.2%,0.1%,0.1%,0.1%,0.2%,0.1%,-0.4%,0.3%,0.5%,0.3%,0.1%,0.1%,-0.3%,0.1%,0.3%,0.0%,-0.3%,-0.4%,-0.1%,0.2%,-0.2%,0.1%,0.4%,0.5%,0.1%,-0.0%,-0.1%,0.8%,,-0.3%,-0.2%,0.3%,0.2%,0.5%,1.1%,-0.1%,-0.2%,0.2%,-0.3%,0.3%,-0.1%,-0.1%,-0.4%,0.1%,-0.2%,-1.3%,-0.0%,0.1%,0.6%,-0.3%,0.1%,0.0%,-0.0%,0.3%,0.3%,,-0.2%,-0.2%,0.6%,0.4%,0.8%,0.2%,0.1%,0.0%,-0.1%,,0.2%,0.1%,-0.3%,0.5%,-0.6%,,-0.2%,0.0%,-0.1%,-0.6%,0.7%,-0.0%,0.1%,-0.0%,0.1%,0.1%,0.1%,-0.0%,-0.4%,0.1%,-0.1%,-0.0%,0.1%,,0.6%,-0.3%,0.3%,-0.2%,0.2%,-0.1%,-0.1%,-0.2%,0.3%,0.3%,-0.2%,-0.0%,-0.2%,0.0%,0.0%,0.3%,-0.0%,-0.0%,-0.2%,0.1%,-0.1%,0.4%,,0.0%,-0.1%,-0.1%,0.9%,-0.1%,0.6%,-1.0%,-0.2%,0.0%,-0.2%,,-0.0%,0.5%,0.4%,-0.3%,0.2%,0.1%,-0.1%,0.6%,-0.2%,1.0%,0.5%,0.4%,-0.7%,0.1%,-0.8%,0.3%
20060215,-0.4%,0.1%,0.4%,0.6%,0.0%,-0.1%,-0.4%,-0.5%,,0.0%,0.9%,0.4%,0.1%,-0.3%,0.4%,-0.5%,-0.0%,-0.1%,-0.1%,-0.8%,-0.0%,-0.0%,-0.5%,0.2%,0.3%,0.2%,-0.1%,-0.1%,-0.2%,-0.2%,-0.3%,0.4%,-0.1%,-0.0%,0.2%,-0.3%,0.1%,-0.1%,-0.7%,-0.0%,0.4%,0.2%,0.0%,0.3%,-0.1%,0.4%,,-0.4%,-0.5%,-0.3%,-0.1%,-0.3%,0.1%,-0.4%,0.1%,-0.2%,0.0%,-0.3%,-0.0%,-0.2%,-0.4%,-0.2%,-0.9%,-1.2%,0.1%,-0.1%,0.1%,-0.3%,-0.4%,0.1%,0.1%,-0.2%,-0.7%,,0.1%,0.3%,0.2%,0.9%,0.2%,-0.5%,-0.3%,0.2%,-0.1%,,0.4%,-0.2%,-0.6%,0.1%,-0.0%,,0.2%,0.3%,-0.2%,-0.1%,0.6%,0.1%,-0.5%,0.3%,0.8%,-0.3%,-0.4%,0.1%,0.2%,0.1%,-1.0%,-0.2%,-0.2%,,-0.2%,-0.5%,-0.6%,0.0%,0.2%,0.7%,0.6%,1.3%,0.5%,0.4%,-0.2%,-0.0%,0.0%,-0.5%,-0.2%,0.1%,-0.5%,-0.3%,-0.6%,0.4%,-0.1%,-0.0%,,-0.2%,0.2%,0.1%,0.1%,-0.4%,-0.1%,-0.3%,-0.2%,0.2%,0.3%,,-0.2%,0.5%,-0.3%,-0.1%,-0.1%,0.2%,-0.2%,0.4%,-0.4%,0.5%,0.0%,0.2%,0.2%,0.3%,-0.6%,-0.3%
20060216,-0.2%,0.3%,0.5%,0.1%,-0.6%,-0.6%,0.3%,0.5%,,-0.7%,0.8%,0.1%,0.2%,0.7%,0.1%,-0.0%,-0.2%,-0.3%,-0.5%,-0.2%,0.3%,0.0%,0.1%,0.5%,0.4%,0.7%,0.4%,0.4%,-0.2%,0.3%,0.3%,0.2%,0.1%,0.4%,0.2%,0.5%,-0.2%,0.0%,0.1%,0.1%,0.2%,0.0%,-0.2%,0.0%,0.0%,0.4%,,0.1%,-0.0%,0.6%,0.7%,-0.0%,1.0%,0.0%,-0.0%,-0.2%,-0.3%,-0.1%,0.3%,0.2%,-0.2%,0.1%,0.3%,0.4%,0.2%,-0.3%,0.1%,0.1%,0.2%,0.0%,0.2%,-0.1%,0.1%,,0.3%,0.4%,0.4%,-0.4%,0.1%,0.5%,-0.0%,-0.0%,-0.2%,,0.6%,-0.0%,-0.4%,0.4%,0.6%,,-0.0%,0.5%,0.4%,0.5%,0.6%,0.1%,0.7%,-0.6%,0.1%,-0.0%,0.2%,-0.1%,-0.4%,0.1%,-0.2%,0.2%,0.1%,,0.3%,0.0%,-0.2%,-0.3%,0.1%,-1.0%,0.0%,0.6%,0.1%,0.2%,0.4%,0.2%,-0.1%,-0.0%,-0.1%,0.4%,-0.1%,-0.5%,0.2%,0.1%,-0.1%,0.5%,,0.4%,0.4%,0.4%,0.1%,-0.3%,0.2%,-0.3%,0.1%,0.3%,0.5%,,0.2%,-0.0%,0.9%,0.4%,0.5%,0.2%,0.1%,0.6%,0.3%,0.5%,0.0%,0.3%,-0.4%,0.2%,-0.7%,0.3%
20060217,0.3%,0.7%,-0.4%,-0.1%,0.7%,0.4%,-0.2%,-0.1%,,-2.0%,-0.3%,0.2%,-0.2%,-0.1%,0.2%,-0.7%,0.1%,0.2%,-0.6%,0.2%,0.2%,0.1%,-0.2%,-0.1%,0.0%,-0.4%,0.0%,-0.4%,-0.6%,-0.2%,-0.1%,-0.3%,0.1%,0.1%,-0.3%,0.2%,0.0%,0.2%,0.1%,-0.2%,-0.3%,-0.2%,0.1%,0.3%,0.3%,-0.2%,,-0.2%,0.5%,-0.7%,-0.6%,0.2%,-0.2%,-0.0%,-0.4%,-0.2%,0.1%,-0.2%,0.5%,0.6%,-0.1%,-0.1%,-0.0%,0.5%,0.4%,-0.1%,0.1%,-0.1%,-0.1%,-1.1%,0.0%,0.0%,-0.5%,,-0.3%,0.3%,-0.3%,-0.2%,-0.9%,-0.3%,-0.0%,-0.0%,-0.2%,,0.0%,-0.1%,-0.0%,0.0%,0.1%,,0.3%,-0.0%,0.3%,0.3%,0.0%,0.5%,-0.1%,-0.2%,0.1%,-0.1%,-0.2%,0.4%,1.3%,0.5%,0.2%,0.1%,0.0%,,-0.6%,-0.3%,-0.5%,-0.2%,-0.3%,0.0%,0.2%,0.7%,0.6%,-0.8%,-0.6%,0.6%,-0.5%,-1.0%,-0.5%,0.2%,-0.1%,-0.1%,0.0%,0.1%,-0.3%,-0.3%,,-0.4%,0.3%,0.1%,-0.5%,0.1%,-0.3%,0.3%,0.3%,0.0%,0.1%,,0.2%,0.5%,-0.4%,0.2%,0.4%,-0.0%,-0.2%,-0.0%,0.8%,-0.6%,0.1%,0.1%,0.3%,-0.1%,0.1%,-0.5%
20060221,0.1%,0.3%,0.4%,-0.1%,0.7%,0.1%,0.6%,0.3%,,-0.7%,-0.9%,-0.2%,-0.2%,0.0%,-0.2%,-0.3%,-0.4%,-0.2%,-0.1%,0.2%,-0.1%,-0.3%,0.3%,-0.4%,-0.3%,-0.3%,0.0%,-0.3%,-0.2%,-0.2%,0.2%,0.0%,-0.1%,0.7%,-0.0%,0.8%,0.5%,0.5%,-0.1%,0.2%,-0.0%,-0.0%,-0.1%,-0.6%,0.8%,-0.5%,,0.2%,0.6%,-0.2%,-0.5%,0.3%,0.4%,-0.1%,-0.3%,-0.0%,0.1%,0.0%,0.2%,0.0%,0.0%,-0.4%,0.6%,-0.1%,0.1%,0.1%,0.1%,0.3%,0.2%,-0.4%,-0.3%,0.4%,-0.0%,,-0.3%,0.3%,-0.1%,-0.6%,0.1%,-0.5%,0.3%,-0.1%,0.4%,,-0.4%,0.5%,-0.0%,-0.1%,1.0%,,0.6%,0.3%,0.3%,1.2%,0.1%,0.2%,0.5%,0.2%,-0.5%,0.0%,0.1%,0.0%,0.7%,0.3%,0.4%,0.0%,0.2%,,-0.2%,0.2%,-0.4%,0.2%,0.0%,-1.0%,-0.4%,0.3%,0.4%,-0.1%,-0.1%,0.5%,-0.2%,-0.2%,0.1%,0.5%,-0.0%,-0.3%,-0.1%,0.0%,-0.0%,0.1%,,-0.1%,0.4%,0.1%,-0.3%,0.1%,0.1%,0.4%,0.4%,0.3%,0.1%,,0.3%,-0.1%,-0.5%,0.2%,0.3%,0.2%,0.2%,-0.1%,0.5%,-0.2%,0.4%,0.2%,0.5%,0.4%,0.2%,-0.1%
20060222,-0.8%,-0.2%,-0.3%,-0.4%,0.4%,-0.6%,0.0%,-0.2%,,0.5%,0.7%,-0.2%,0.0%,0.0%,-0.6%,0.1%,0.1%,-0.2%,0.7%,0.6%,-0.1%,0.1%,0.1%,-0.3%,-0.5%,-0.2%,0.0%,0.1%,0.3%,0.2%,-0.5%,-0.2%,0.1%,-0.1%,-0.1%,-0.7%,0.1%,-0.4%,0.8%,-0.3%,0.3%,0.4%,0.0%,0.4%,0.5%,1.0%,,-0.1%,-0.2%,-0.3%,-0.5%,-0.0%,0.5%,0.1%,-0.0%,0.2%,0.3%,0.2%,0.2%,0.6%,-0.1%,-0.1%,0.2%,-0.5%,0.1%,0.0%,0.4%,-0.4%,0.3%,-0.1%,-0.2%,0.5%,0.1%,,-0.3%,-0.9%,-0.3%,0.7%,1.5%,0.1%,-0.3%,0.1%,0.0%,,-0.2%,0.3%,-0.1%,0.2%,-0.5%,,-0.1%,-0.4%,0.2%,-0.7%,0.4%,-0.5%,-0.4%,0.0%,-0.1%,0.2%,0.1%,-0.3%,-0.3%,0.1%,0.6%,0.0%,0.0%,,0.6%,-0.0%,0.4%,-0.1%,0.3%,0.3%,-0.4%,0.4%,0.5%,0.7%,0.1%,-0.5%,0.5%,0.1%,0.4%,-0.2%,-0.3%,-0.1%,0.6%,0.0%,0.5%,0.2%,,0.1%,-0.5%,-0.4%,0.9%,-0.3%,-0.1%,-0.7%,-0.6%,-0.2%,-0.2%,,-0.2%,-0.0%,0.1%,-0.3%,-0.6%,0.1%,0.3%,0.1%,-0.7%,0.8%,0.2%,0.1%,-1.1%,-0.4%,-0.1%,0.3%
20060223,-0.1%,0.2%,0.2%,0.3%,-0.3%,0.6%,0.2%,-0.2%,,-0.1%,-0.2%,0.3%,0.4%,-0.1%,-0.0%,-0.3%,-0.0%,-0.1%,0.1%,-0.1%,0.3%,0.2%,-0.0%,0.2%,0.1%,0.3%,0.2%,0.2%,-0.1%,-0.2%,0.2%,0.1%,0.4%,-0.2%,0.1%,0.5%,0.0%,0.2%,-0.3%,0.3%,0.2%,-0.0%,0.4%,0.1%,-0.1%,0.3%,,0.2%,0.2%,-0.4%,-0.1%,-0.1%,-0.5%,0.2%,-0.3%,-0.1%,0.1%,-0.1%,0.6%,-0.7%,-0.5%,0.1%,-0.4%,0.2%,-0.3%,0.3%,-0.4%,0.2%,-0.8%,-0.3%,0.1%,0.1%,0.8%,,0.4%,0.7%,0.0%,0.3%,-0.1%,-0.3%,0.0%,-0.3%,-0.0%,,0.2%,-0.5%,0.1%,0.3%,0.0%,,-0.3%,0.5%,0.4%,0.4%,-0.1%,-0.4%,-0.4%,-0.1%,-0.5%,-0.3%,0.4%,0.6%,0.6%,-0.2%,0.0%,0.2%,0.2%,,-0.7%,0.0%,-0.3%,-0.3%,0.0%,-0.1%,-0.4%,0.1%,0.0%,-0.5%,0.1%,0.2%,0.1%,-0.2%,0.0%,-0.4%,0.2%,0.2%,-0.6%,0.4%,-0.0%,0.1%,,0.0%,0.0%,0.2%,-0.7%,0.1%,-0.1%,0.6%,0.7%,0.4%,0.4%,,0.5%,-0.0%,0.3%,-0.0%,0.2%,0.1%,-0.3%,-0.4%,-0.1%,-0.1%,0.1%,0.2%,0.3%,-0.1%,0.3%,-0.1%
20060224,-0.1%,0.3%,0.1%,0.1%,-0.1%,-0.0%,0.0%,0.5%,,0.1%,0.4%,0.1%,0.3%,-0.8%,0.1%,-0.3%,0.5%,0.2%,-0.1%,-0.1%,0.2%,0.1%,-0.0%,0.2%,-0.1%,0.1%,0.2%,0.0%,-0.0%,0.3%,-0.0%,0.1%,0.1%,0.0%,-0.2%,0.9%,0.3%,0.1%,0.2%,-0.5%,0.5%,-0.0%,-0.0%,-0.3%,-0.3%,0.3%,,0.3%,-0.1%,0.2%,0.3%,-0.1%,0.4%,0.0%,0.2%,0.1%,-0.0%,0.4%,0.1%,-0.1%,0.1%,0.2%,-0.1%,0.2%,0.1%,0.1%,-0.2%,0.5%,-0.1%,-0.0%,0.0%,0.1%,-1.1%,,-0.1%,0.2%,0.2%,-0.2%,-0.3%,-0.3%,-0.5%,0.2%,-0.0%,,0.2%,0.0%,-0.5%,-0.3%,0.1%,,-0.3%,0.4%,0.3%,0.6%,0.3%,0.1%,0.2%,-0.3%,0.3%,-0.6%,-0.6%,-0.3%,0.4%,0.3%,-0.2%,-0.1%,0.0%,,-0.0%,-0.4%,-0.3%,-0.3%,0.4%,-0.3%,0.9%,0.6%,0.6%,0.3%,-0.2%,0.4%,-0.0%,-0.3%,0.4%,0.3%,-0.7%,0.3%,0.3%,-0.3%,-0.1%,0.1%,,0.0%,0.8%,0.4%,0.2%,-0.8%,-0.1%,-0.1%,0.1%,0.6%,0.6%,,0.3%,0.2%,0.4%,0.2%,0.5%,0.2%,-0.3%,0.2%,0.1%,0.0%,0.1%,0.0%,0.3%,0.9%,-0.3%,0.2%
20060227,0.3%,-0.2%,-0.0%,0.6%,-0.2%,-0.4%,-0.4%,-0.1%,,-0.6%,0.9%,0.3%,-0.1%,-0.5%,-0.4%,-0.6%,0.1%,0.3%,-0.2%,-0.2%,-0.0%,0.0%,-0.2%,0.1%,-0.1%,-0.2%,-0.1%,0.0%,-0.0%,-0.1%,-0.5%,-0.3%,0.4%,-0.2%,0.2%,-0.1%,-0.3%,-0.2%,0.3%,-0.2%,0.5%,0.2%,0.1%,0.1%,0.2%,0.7%,,-0.1%,-0.2%,-0.3%,-0.4%,-0.0%,-0.4%,0.1%,-0.1%,0.2%,0.4%,0.5%,0.2%,-0.4%,-0.2%,0.4%,-1.4%,-0.6%,-0.3%,-0.1%,0.2%,-0.2%,-0.5%,0.1%,-0.1%,-0.3%,-0.6%,,0.1%,0.4%,-0.4%,0.6%,-0.3%,-0.8%,-0.2%,0.2%,0.2%,,0.7%,-0.2%,-0.7%,0.2%,-0.7%,,-0.5%,0.2%,-0.2%,-0.9%,0.0%,-0.0%,-0.9%,-0.2%,0.1%,0.1%,-0.6%,0.7%,0.0%,0.2%,-0.3%,-0.1%,-0.3%,,-0.2%,-0.4%,-0.6%,0.2%,0.3%,1.5%,0.9%,1.3%,1.4%,0.5%,-0.5%,0.6%,-0.8%,-0.2%,-0.5%,0.0%,-0.6%,0.0%,0.3%,0.4%,0.3%,-0.3%,,-0.3%,-0.1%,0.2%,0.3%,-0.6%,-0.5%,-0.4%,-0.8%,0.6%,0.7%,,-0.1%,0.2%,-0.4%,-0.1%,0.1%,0.1%,0.0%,-0.0%,-0.3%,0.2%,-0.2%,0.3%,-0.3%,-0.1%,-0.1%,0.0%
20060228,0.3%,0.1%,-0.2%,-0.3%,0.6%,0.9%,-0.1%,-0.4%,,-1.7%,-1.4%,-0.0%,-0.3%,0.6%,-0.4%,-0.3%,0.2%,0.2%,-0.4%,0.0%,-0.2%,0.1%,0.1%,-0.2%,-0.1%,-0.5%,-0.1%,-0.6%,-0.0%,-0.2%,-0.7%,-0.4%,-0.1%,-0.3%,-0.4%,-0.7%,-0.0%,0.2%,-0.1%,-0.0%,-0.2%,0.2%,-0.3%,0.1%,-0.3%,-0.5%,,-0.1%,-0.1%,-0.4%,-0.5%,-0.0%,-0.9%,0.6%,-0.4%,-0.2%,-0.2%,0.1%,-0.2%,0.6%,-0.1%,0.0%,0.3%,-1.6%,-0.2%,0.8%,-0.3%,0.3%,-0.0%,-0.7%,0.1%,0.2%,-0.0%,,-0.4%,-0.1%,-0.0%,0.3%,-0.8%,0.0%,-0.1%,0.2%,-0.2%,,-0.7%,-0.0%,0.6%,-0.3%,0.0%,,0.3%,-0.5%,0.5%,0.2%,-1.0%,-0.0%,-0.2%,0.1%,-0.5%,0.1%,0.2%,0.3%,-0.2%,0.1%,0.1%,0.0%,-0.0%,,-0.9%,0.3%,-0.1%,0.1%,-0.3%,1.2%,0.1%,-0.8%,-0.3%,-0.4%,-0.2%,0.1%,0.2%,-0.3%,-0.4%,-0.2%,0.1%,-0.0%,-0.1%,-0.3%,-0.3%,0.1%,,-0.7%,-0.0%,0.1%,-1.0%,0.6%,0.2%,1.1%,0.3%,-0.0%,0.1%,,0.4%,-0.5%,-0.4%,0.1%,0.2%,0.0%,-0.3%,-1.0%,0.9%,-1.0%,-0.3%,-0.7%,0.8%,-0.2%,1.2%,-1.0%
20060301,-0.5%,0.2%,-0.6%,0.5%,-1.3%,-0.5%,-0.3%,-0.4%,,-0.9%,1.9%,1.5%,0.1%,0.3%,0.3%,0.1%,0.2%,0.5%,-0.2%,-0.2%,-0.3%,-0.3%,0.2%,0.3%,0.0%,-0.4%,0.4%,-0.4%,-0.5%,1.1%,-0.8%,0.2%,0.3%,-0.1%,-0.7%,-0.6%,-0.5%,1.0%,-0.1%,0.0%,-0.0%,0.2%,-0.9%,0.8%,0.1%,0.3%,,-0.8%,0.3%,-0.7%,-0.6%,0.1%,1.2%,-0.4%,0.2%,-0.2%,-0.5%,0.4%,0.5%,-0.2%,0.3%,0.4%,-0.2%,0.1%,-0.0%,0.7%,0.5%,-0.3%,0.5%,0.2%,-0.3%,0.1%,-0.8%,,-0.4%,0.5%,0.5%,0.2%,0.2%,0.0%,-0.1%,0.2%,0.1%,,0.5%,0.3%,-0.3%,-0.5%,1.0%,,-0.6%,0.5%,0.6%,1.2%,1.4%,-0.1%,-0.4%,-0.2%,-0.2%,0.2%,0.0%,0.4%,-0.4%,0.1%,-0.3%,0.2%,0.2%,,0.2%,0.4%,-0.4%,-0.3%,0.2%,0.4%,0.9%,-0.2%,0.4%,-0.2%,0.3%,0.4%,-0.0%,0.0%,0.2%,-0.6%,-0.2%,-0.1%,0.1%,-0.1%,0.9%,0.6%,,0.5%,0.0%,-0.0%,0.2%,0.0%,0.2%,-0.3%,0.5%,0.4%,0.5%,,0.9%,0.3%,-0.8%,0.1%,0.8%,0.1%,0.0%,1.2%,0.6%,0.8%,0.3%,0.9%,0.2%,-0.2%,-1.1%,-0.2%
20060302,0.1%,0.2%,-0.7%,0.5%,0.2%,0.3%,0.2%,1.0%,,-0.1%,-0.2%,0.5%,-0.5%,0.3%,0.3%,-0.3%,-0.3%,0.4%,-0.1%,-0.0%,0.1%,-0.2%,0.3%,0.0%,0.0%,0.0%,0.1%,-0.3%,-0.3%,0.3%,0.4%,-0.6%,0.6%,0.2%,0.1%,-0.4%,0.1%,0.6%,-0.0%,0.1%,-0.1%,0.1%,0.1%,0.1%,-0.3%,0.1%,,0.0%,-0.3%,-0.5%,-0.3%,-0.1%,0.0%,0.9%,0.3%,-0.2%,-0.5%,0.5%,0.1%,0.6%,0.1%,0.1%,0.4%,-0.4%,0.2%,0.1%,-0.2%,0.2%,0.1%,-0.2%,0.2%,0.3%,-0.2%,,0.0%,0.6%,0.9%,-0.2%,-0.0%,-0.2%,-0.6%,0.1%,-0.1%,,-0.2%,-0.1%,0.0%,-0.4%,0.1%,,-0.1%,0.0%,0.5%,0.7%,-0.2%,0.2%,0.2%,-0.0%,0.2%,0.1%,0.2%,0.3%,0.3%,-0.2%,0.1%,0.2%,-0.0%,,-0.4%,-0.1%,-0.3%,-0.1%,0.0%,0.3%,0.7%,-0.8%,-0.3%,-0.8%,-0.2%,0.7%,0.1%,-0.4%,0.1%,0.1%,0.1%,-0.1%,-0.2%,-0.0%,-0.3%,-0.5%,,-0.3%,0.8%,-0.2%,-0.8%,-0.1%,-0.1%,0.7%,0.9%,0.3%,0.4%,,0.6%,-0.1%,0.2%,0.2%,0.0%,-0.3%,-0.5%,0.1%,0.9%,-0.6%,-0.1%,-0.2%,0.0%,0.2%,0.2%,-0.5%
20060303,-0.4%,0.7%,-0.1%,0.1%,0.2%,0.2%,0.1%,0.1%,,-0.1%,-0.5%,0.8%,-0.4%,-0.2%,-0.2%,-0.8%,-0.1%,0.1%,-0.7%,0.1%,0.1%,0.1%,-0.3%,0.0%,-0.3%,-0.5%,0.4%,-0.3%,-0.2%,0.2%,-0.4%,-0.3%,1.0%,-0.3%,-0.8%,0.3%,-0.1%,0.3%,-0.1%,0.1%,-0.4%,0.0%,-0.3%,0.4%,-0.3%,-0.5%,,-0.8%,0.4%,-0.6%,-0.6%,0.3%,-0.3%,0.3%,0.4%,-0.1%,-0.3%,-0.0%,0.1%,-0.2%,-0.2%,0.1%,-0.2%,0.1%,-0.2%,0.2%,-0.2%,0.1%,-0.2%,0.0%,-0.1%,-0.2%,0.3%,,0.1%,0.3%,0.6%,-0.2%,-0.9%,-0.4%,-0.1%,-0.3%,-0.4%,,-0.3%,-0.2%,0.2%,0.3%,-0.2%,,-0.1%,-0.1%,0.7%,0.2%,-0.1%,-0.1%,0.1%,0.1%,-0.3%,0.2%,0.2%,0.4%,0.6%,-0.1%,0.2%,0.3%,0.3%,,-0.9%,-0.1%,-0.3%,0.2%,-0.2%,0.2%,1.0%,-0.9%,-0.4%,0.1%,-0.3%,0.2%,-0.4%,-0.6%,-0.5%,-0.1%,-0.0%,0.3%,-0.2%,-0.0%,-0.1%,0.1%,,-0.1%,0.2%,0.5%,-0.6%,0.3%,-0.2%,0.3%,0.5%,0.3%,0.4%,,0.3%,-0.3%,-0.2%,-0.0%,0.2%,0.6%,-0.3%,-0.2%,0.9%,-0.5%,-0.4%,0.1%,0.7%,-0.1%,0.3%,-1.0%
20060306,0.0%,-0.1%,0.5%,-0.2%,0.6%,0.7%,-0.4%,-0.3%,,0.3%,-1.0%,-0.2%,-0.4%,0.4%,-0.3%,-0.3%,-0.2%,-0.2%,0.1%,-0.0%,0.2%,-0.1%,-0.1%,-0.2%,-0.2%,-0.5%,-0.0%,-0.1%,0.1%,-0.1%,-0.4%,-0.3%,-0.2%,-0.4%,-0.6%,1.4%,-0.3%,-0.6%,0.1%,0.1%,0.1%,0.2%,-0.2%,0.4%,-0.2%,-0.3%,,-0.3%,-0.5%,-0.5%,-0.4%,0.3%,-1.7%,0.5%,0.2%,-0.2%,-0.4%,-0.1%,-0.1%,-0.1%,0.3%,0.4%,-1.1%,-0.6%,-0.0%,-0.6%,-0.4%,0.1%,-0.5%,-0.2%,-0.4%,-0.2%,0.5%,,-0.2%,-0.2%,-1.8%,-0.1%,-0.2%,-0.3%,-0.0%,0.3%,-0.1%,,-0.4%,-0.0%,0.3%,-0.2%,-0.9%,,-0.0%,-0.4%,0.2%,-1.3%,-1.2%,-0.1%,-0.3%,0.3%,-0.0%,-0.1%,0.5%,0.5%,-0.5%,-0.0%,-0.1%,-0.0%,0.0%,,-1.0%,-0.3%,-0.5%,0.6%,0.1%,0.5%,0.1%,0.0%,0.3%,-0.1%,-0.4%,0.1%,0.0%,-0.1%,-0.3%,-0.4%,0.1%,0.2%,0.2%,0.1%,-0.0%,-0.2%,,0.1%,-0.1%,-0.1%,-0.9%,0.6%,-0.4%,0.5%,-0.5%,-0.1%,-0.2%,,-1.0%,0.1%,-0.1%,-0.3%,0.0%,0.1%,-0.1%,-1.0%,0.1%,-1.0%,-0.5%,-0.4%,0.6%,0.1%,1.3%,-0.1%
