,loss,iteration,Rho,kappa,look_back,rebalancing_frequency,,,sharpe
155,,155,0.25,30.43932521,21,21,,,0
156,,156,0.25,75.96721892,21,21,,,0
157,,157,0.25,0.733561753,21,21,,,0
158,,158,0.25,31.63905353,21,21,,,0
159,,159,0.25,0.2825962,21,21,,,0
160,,160,0.25,31.5937467,21,21,,,0
161,,161,0.25,32.3062133,21,21,,,0
162,,162,0.25,0.090904652,21,21,,,0
163,,163,0.25,0.301590367,21,21,,,0
164,,164,0.25,30.3061124,21,21,,,0
165,,165,0.25,76.28361919,21,21,,,0
166,,166,0.25,75.86057939,21,21,,,0
167,,167,0.25,0.215576949,21,21,,,0
168,,168,0.25,32.59415719,21,21,,,0
169,,169,0.25,32.08626379,21,21,,,0
170,,170,0.25,31.55182035,21,21,,,0
171,,171,0.25,47.218977,21,21,,,0
172,,172,0.25,0.767544661,21,21,,,0
173,,173,0.25,30.97426274,21,21,,,0
174,,174,0.25,47.16448683,21,21,,,0
175,,175,0.25,0.081089163,21,21,,,0
176,,176,0.25,0.433849606,21,21,,,0
177,,177,0.25,30.23954281,21,21,,,0
178,,178,0.25,0.526571137,21,21,,,0
179,,179,0.25,32.74959294,21,21,,,0
180,,180,0.25,2.087393663,21,21,,,0
181,,181,0.25,0.358410631,21,21,,,0
182,,182,0.25,0.64173554,21,21,,,0
183,,183,0.25,32.18523565,21,21,,,0
184,,184,0.25,30.52863603,21,21,,,0
185,,185,0.25,75.14646633,21,21,,,0
186,,186,0.25,1.048567779,21,21,,,0
187,,187,0.25,30.89141266,21,21,,,0
188,,188,0.25,31.49778429,21,21,,,0
189,,189,0.25,0.480678141,21,21,,,0
190,,190,0.25,1.984204274,21,21,,,0
191,,191,0.25,30.9915666,21,21,,,0
192,,192,0.25,75.47431356,21,21,,,0
193,,193,0.25,31.3415194,21,21,,,0
194,,194,0.25,30.34149882,21,21,,,0
195,,195,0.25,32.52070228,21,21,,,0
196,,196,0.25,0.974485729,21,21,,,0
197,,197,0.25,30.20690431,21,21,,,0
198,,198,0.25,1.253721154,21,21,,,0
199,,199,0.25,62.91763836,21,21,,,0
200,,200,0.25,48.02676983,21,21,,,0
201,,201,0.25,31.05380216,21,21,,,0
202,,202,0.25,31.54601638,21,21,,,0
203,,203,0.25,30.66933958,21,21,,,0
204,,204,0.25,77.77555198,21,21,,,0
205,-1.619599018,205,0.25,0.140443787,21,21,,,1.619599018
206,-2.169469646,206,0.25,29.70893894,21,21,,,2.169469646
207,-3.457888286,207,0.25,0.470137206,21,21,,,3.457888286
208,-2.666119544,208,0.25,8.746067386,21,21,,,2.666119544
209,-2.81629997,209,0.25,3.437213362,21,21,,,2.81629997
210,-2.631398246,210,0.25,12.5586356,21,21,,,2.631398246
211,-2.617385211,211,0.25,14.99723866,21,21,,,2.617385211
212,-2.869077573,212,0.25,0.029591131,21,21,,,2.869077573
213,-2.698994057,213,0.25,6.691146225,21,21,,,2.698994057
214,-1.406973633,214,0.25,10.86101848,21,21,,,1.406973633
215,-1.179271495,215,0.25,31.79115329,21,21,,,1.179271495
216,-1.851895075,216,0.25,1.954813608,21,21,,,1.851895075
217,-0.370396009,217,0.25,21.99276146,21,21,,,0.370396009
218,-1.496671058,218,0.25,26.67187721,21,21,,,1.496671058
219,-2.647894749,219,0.25,38.46906088,21,21,,,2.647894749
220,-2.675584059,220,0.25,8.039711872,21,21,,,2.675584059
221,,221,0.25,33.54764213,21,21,,,0
222,-2.608790157,222,0.25,16.8604434,21,21,,,2.608790157
223,-0.547699344,223,0.25,75.81893067,21,21,,,0.547699344
224,-1.903462696,224,0.25,4.339647329,21,21,,,1.903462696
225,,225,0.25,43.48477367,21,21,,,0
226,,226,0.25,42.86224415,21,21,,,0
227,,227,0.25,43.16520511,21,21,,,0
228,,228,0.25,19.74571178,21,21,,,0
229,,229,0.25,33.74661029,21,21,,,0
230,,230,0.25,19.38104046,21,21,,,0
231,,231,0.25,44.9503933,21,21,,,0
232,,232,0.25,33.69948011,21,21,,,0
233,,233,0.25,19.61859238,21,21,,,0
234,,234,0.25,47.80032481,21,21,,,0
235,,235,0.25,33.00896954,21,21,,,0
236,,236,0.25,46.14078475,21,21,,,0
237,,237,0.25,33.25874117,21,21,,,0
238,,238,0.25,19.31882052,21,21,,,0
239,,239,0.25,14.45832735,21,21,,,0
240,,240,0.25,47.75827371,21,21,,,0
241,,241,0.25,33.08408848,21,21,,,0
242,,242,0.25,48.78153351,21,21,,,0
243,,243,0.25,19.18965328,21,21,,,0
244,,244,0.25,48.26287835,21,21,,,0
245,,245,0.25,44.01845043,21,21,,,0
246,,246,0.25,43.01642416,21,21,,,0
247,,247,0.25,43.58458195,21,21,,,0
248,,248,0.25,48.44509275,21,21,,,0
249,,249,0.25,34.04595036,21,21,,,0
250,,250,0.25,44.31800209,21,21,,,0
251,,251,0.25,33.77192441,21,21,,,0
252,,252,0.25,44.59763987,21,21,,,0
253,,253,0.25,33.41109294,21,21,,,0
254,,254,0.25,43.86960986,21,21,,,0
255,,255,0.25,23.50714514,21,21,,,0
256,,256,0.25,42.70343525,21,21,,,0
257,,257,0.25,32.78719074,21,21,,,0
258,,258,0.25,33.28374936,21,21,,,0
259,,259,0.25,33.62645073,21,21,,,0
260,,260,0.25,43.95615569,21,21,,,0
